league,season,team,Player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2223,Everton,Vitaliy Mykolenko,UKR,"DF,MF",23,1999,34,30,2655,29.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Everton,Yerry Mina,COL,DF,27,1994,7,7,594,6.6,2,0,2,2,0,0,2,0,0.3,0.0,0.3,0.3,0.3
ENG-Premier League,2223,Fulham,Aleksandar Mitrović,SRB,FW,27,1994,24,23,2008,22.3,14,1,15,10,4,8,7,0,0.63,0.04,0.67,0.45,0.49
ENG-Premier League,2223,Fulham,Andreas Pereira,BRA,MF,26,1996,33,33,2692,29.9,4,6,10,3,1,1,8,0,0.13,0.2,0.33,0.1,0.3
ENG-Premier League,2223,Fulham,Antonee Robinson,USA,DF,24,1997,35,35,3088,34.3,0,1,1,0,0,0,8,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2223,Fulham,Bernd Leno,GER,GK,30,1992,36,36,3240,36.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Fulham,Bobby De Cordova-Reid,JAM,"MF,DF",29,1993,36,29,2475,27.5,4,1,5,4,0,0,8,0,0.15,0.04,0.18,0.15,0.18
ENG-Premier League,2223,Fulham,Carlos Vinícius,BRA,FW,27,1995,28,11,1109,12.3,5,2,7,5,0,0,3,0,0.41,0.16,0.57,0.41,0.57
ENG-Premier League,2223,Fulham,Cédric Soares,POR,DF,30,1991,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Fulham,Daniel James,WAL,"MF,FW",24,1997,20,5,621,6.9,2,1,3,2,0,0,0,0,0.29,0.14,0.43,0.29,0.43
ENG-Premier League,2223,Fulham,Harrison Reed,ENG,MF,27,1995,37,35,2866,31.8,3,4,7,3,0,0,5,0,0.09,0.13,0.22,0.09,0.22
ENG-Premier League,2223,Fulham,Harry Wilson,WAL,MF,25,1997,29,13,1100,12.2,2,3,5,2,0,0,1,0,0.16,0.25,0.41,0.16,0.41
ENG-Premier League,2223,Fulham,Issa Diop,MAR,DF,25,1997,25,21,2012,22.4,1,0,1,1,0,0,2,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2223,Fulham,Jay Stansfield,ENG,MF,19,2002,3,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
